id,available_seats,total_price,notes,ride_type,created_at,updated_at,duration_in_minutes,departure_date,departure_time,to_location_id,from_location_id,flexibility_in_minutes
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
,3,60,,sudan,,,23,12/12/2012,1:00,1,2,12
