id,available_seats,total_price,notes,ride_type,created_at,updated_at,duration_in_minutes,departure_date,departure_time,to_location_id,from_location_id,flexibility_in_minutes
,1,45,,van,,,50,7/3/2012,6:00,1,2,10
,2,40,,sedan,,,45,7/3/2012,6:15,1,2,10
,3,45,,sedan,,,50,7/3/2012,6:30,1,2,5
,2,40,,van,,,55,7/3/2012,6:55,1,2,15
,1,20,,van,,,45,7/3/2012,7:05,1,2,10
,1,25,,van,,,40,7/3/2012,7:10,1,2,10
,1,20,,sedan,,,50,7/3/2012,7:15,1,2,10
,1,50,,van,,,55,7/3/2012,7:30,1,2,15
,3,30,,van,,,50,7/3/2012,7:45,1,2,10
,3,45,,van,,,45,7/3/2012,8:00,1,2,10
,1,40,,van,,,45,7/3/2012,8:10,1,2,15
,1,20,,sedan,,,55,7/3/2012,8:30,1,2,10
,1,30,,sedan,,,50,7/3/2012,8:35,1,2,5
,3,20,,van,,,40,7/3/2012,8:50,1,2,15
,3,50,,van,,,45,7/3/2012,9:15,1,2,5
,1,45,,sedan,,,45,7/3/2012,9:40,1,2,5
,2,30,,sedan,,,55,7/3/2012,10:05,1,2,5
,1,30,,van,,,45,7/3/2012,10:30,1,2,5
,3,25,,sedan,,,50,7/3/2012,10:35,1,2,15
,3,50,,sedan,,,55,7/3/2012,10:45,1,2,10
,2,20,,van,,,50,7/3/2012,11:10,1,2,15
,1,40,,van,,,55,7/3/2012,11:30,1,2,15
,1,50,,sedan,,,45,7/3/2012,11:35,1,2,10
,2,35,,sedan,,,50,7/3/2012,11:45,1,2,10
,3,35,,van,,,55,7/3/2012,12:00,1,2,5
,1,40,,van,,,40,7/3/2012,12:15,1,2,15
,3,35,,van,,,45,7/3/2012,12:25,1,2,10
,1,35,,sedan,,,55,7/3/2012,12:40,1,2,15
,3,25,,sedan,,,45,7/3/2012,13:00,1,2,10
,2,45,,van,,,45,7/3/2012,13:05,1,2,10
,1,40,,sedan,,,40,7/3/2012,13:30,1,2,10
,1,20,,van,,,45,7/3/2012,13:45,1,2,10
,1,25,,sedan,,,40,7/3/2012,13:55,1,2,10
,1,20,,sedan,,,55,7/3/2012,14:15,1,2,15
,2,50,,van,,,40,7/3/2012,14:25,1,2,10
,2,40,,sedan,,,55,7/3/2012,14:35,1,2,15
,1,30,,sedan,,,55,7/3/2012,14:55,1,2,5
,1,25,,van,,,45,7/3/2012,15:05,1,2,15
,2,40,,sedan,,,55,7/3/2012,15:15,1,2,5
,1,25,,van,,,50,7/3/2012,15:30,1,2,10
,3,35,,van,,,40,7/3/2012,15:40,1,2,5
,2,35,,van,,,45,7/3/2012,15:50,1,2,15
,1,20,,van,,,40,7/3/2012,16:15,1,2,15
,2,35,,van,,,40,7/3/2012,16:35,1,2,15
,3,35,,van,,,40,7/3/2012,16:45,1,2,5
,3,50,,van,,,40,7/3/2012,17:00,1,2,15
,1,50,,sedan,,,40,7/3/2012,17:20,1,2,5
,2,50,,sedan,,,55,7/3/2012,17:35,1,2,5
,2,45,,sedan,,,50,7/3/2012,17:50,1,2,5
,3,25,,van,,,45,7/3/2012,18:15,1,2,10
,1,25,,sedan,,,40,7/3/2012,18:40,1,2,5
,3,50,,van,,,45,7/3/2012,19:05,1,2,15
,2,50,,sedan,,,40,7/3/2012,19:25,1,2,15
,2,25,,sedan,,,55,7/3/2012,19:30,1,2,15
,2,30,,van,,,55,7/3/2012,19:55,1,2,15
,3,40,,sedan,,,40,7/3/2012,20:10,1,2,10
,1,20,,sedan,,,45,7/3/2012,20:15,1,2,5
,1,30,,van,,,55,7/3/2012,20:30,1,2,10
,2,40,,van,,,55,7/3/2012,20:45,1,2,10
,3,50,,sedan,,,55,7/3/2012,20:55,1,2,5
,2,30,,sedan,,,45,7/3/2012,21:10,1,2,15
,1,30,,van,,,40,7/3/2012,21:20,1,2,5
,2,45,,van,,,55,7/3/2012,21:35,1,2,10
,2,50,,van,,,55,7/3/2012,21:50,1,2,15
,2,45,,van,,,45,7/3/2012,21:55,1,2,10
,1,30,,van,,,50,7/3/2012,6:00,1,2,15
,1,25,,sedan,,,40,8/3/2012,6:20,1,2,10
,1,35,,van,,,45,8/3/2012,6:35,1,2,15
,2,50,,van,,,55,8/3/2012,6:45,1,2,5
,2,45,,van,,,55,8/3/2012,6:50,1,2,15
,2,30,,van,,,40,8/3/2012,7:00,1,2,15
,2,25,,sedan,,,45,8/3/2012,7:20,1,2,5
,1,20,,sedan,,,50,8/3/2012,7:25,1,2,15
,2,20,,van,,,45,8/3/2012,7:30,1,2,15
,1,20,,van,,,40,8/3/2012,7:40,1,2,5
,3,30,,sedan,,,45,8/3/2012,8:00,1,2,15
,3,50,,sedan,,,50,8/3/2012,8:20,1,2,5
,3,50,,sedan,,,50,8/3/2012,8:35,1,2,10
,1,45,,van,,,40,8/3/2012,9:00,1,2,15
,2,50,,van,,,55,8/3/2012,9:25,1,2,15
,2,50,,van,,,55,8/3/2012,9:40,1,2,10
,2,45,,van,,,45,8/3/2012,10:00,1,2,5
,3,40,,van,,,40,8/3/2012,10:15,1,2,5
,3,45,,van,,,40,8/3/2012,10:20,1,2,10
,1,25,,van,,,50,8/3/2012,10:35,1,2,10
,2,20,,van,,,45,8/3/2012,10:55,1,2,10
,1,35,,sedan,,,50,8/3/2012,11:00,1,2,5
,1,25,,sedan,,,50,8/3/2012,11:25,1,2,10
,2,50,,sedan,,,55,8/3/2012,11:30,1,2,5
,1,30,,van,,,55,8/3/2012,11:40,1,2,10
,2,40,,van,,,40,8/3/2012,11:50,1,2,10
,3,50,,sedan,,,55,8/3/2012,12:10,1,2,15
,1,20,,sedan,,,50,8/3/2012,12:25,1,2,5
,3,45,,sedan,,,40,8/3/2012,12:35,1,2,5
,2,20,,van,,,55,8/3/2012,12:40,1,2,15
,3,40,,van,,,55,8/3/2012,12:45,1,2,10
,1,45,,sedan,,,50,8/3/2012,12:55,1,2,5
,3,35,,sedan,,,50,8/3/2012,13:10,1,2,10
,2,20,,van,,,50,8/3/2012,13:20,1,2,10
,3,30,,van,,,45,8/3/2012,13:45,1,2,5
,1,25,,van,,,55,8/3/2012,13:55,1,2,10
,2,30,,sedan,,,45,8/3/2012,14:00,1,2,15
,1,30,,sedan,,,45,8/3/2012,14:10,1,2,5
,1,20,,sedan,,,45,8/3/2012,14:15,1,2,5
,1,25,,sedan,,,40,8/3/2012,14:20,1,2,10
,1,45,,sedan,,,40,8/3/2012,14:40,1,2,10
,1,30,,van,,,45,8/3/2012,15:00,1,2,10
,3,20,,sedan,,,40,8/3/2012,15:15,1,2,15
,3,50,,sedan,,,40,8/3/2012,15:35,1,2,5
,3,30,,van,,,45,8/3/2012,15:45,1,2,10
,3,40,,van,,,40,8/3/2012,16:10,1,2,5
,1,35,,van,,,50,8/3/2012,16:25,1,2,5
,2,35,,van,,,45,8/3/2012,16:40,1,2,15
,1,35,,van,,,40,8/3/2012,16:55,1,2,10
,3,30,,van,,,45,8/3/2012,17:15,1,2,5
,1,45,,sedan,,,55,8/3/2012,17:20,1,2,5
